tipo,label,2025_11,2025_12,2026_01,2026_02,2026_03,2026_04,2026_05,2026_06,2026_07,2026_08,2026_09,2026_10,total,low,prior,min
mensual,Mar-25,0,0,3759,0,0,0,0,0,0,0,0,0,3759,False,False,0
mensual,Abr-25,0,0,3149,0,0,0,0,0,0,0,0,0,3149,False,False,0
mensual,May-25,0,2230,611,0,0,0,0,0,0,0,0,0,2841,False,False,0
mensual,Jun-25,0,0,55,0,0,0,0,0,0,0,0,0,55,False,False,0
mensual,Jul-25,0,420,0,0,0,0,0,0,0,0,0,0,420,False,False,0
mensual,Ago-25,0,11960,3220,0,0,0,0,0,0,0,0,0,15180,False,False,0
mensual,Sep-25,120,77161,3700,1300,0,0,0,0,0,0,0,0,82281,False,False,0
mensual,Oct-25,0,81278,8670,300,0,0,0,0,0,0,0,0,90248,False,False,0
mensual,Nov-25,14988,71911,27100,0,0,0,0,0,0,0,0,0,113999,False,False,0
mensual,Dic-25,0,80616,100999,81143,23310,0,0,0,0,0,0,0,286068,False,False,0
mensual,Ene-26,0,0,153371,121042,17600,3950,0,0,0,0,0,0,295963,False,False,0
mensual,Feb-26,0,0,0,36318,80086,12920,1000,0,0,0,0,0,130324,False,False,0
mensual,Mar-26,0,0,0,0,38740,20450,2500,790,0,0,0,0,62480,False,False,0
mensual,Abr-26,0,0,0,0,0,32560,3865,2870,150,0,0,0,39445,False,False,0
diario,01/04,0,0,0,0,0,3533,0,0,0,0,0,0,3533,False,False,0
diario,06/04,0,0,0,0,0,633,0,0,0,0,0,0,633,False,False,0
diario,07/04,0,0,0,0,0,692,60,0,0,0,0,0,752,False,False,0
diario,08/04,0,0,0,0,0,926,500,0,0,0,0,0,1426,False,False,0
diario,09/04,0,0,0,0,0,661,0,0,0,0,0,0,661,False,False,0
diario,10/04,0,0,0,0,0,120,0,1000,0,0,0,0,1120,False,False,0
diario,13/04,0,0,0,0,0,806,35,0,0,0,0,0,841,False,False,0
diario,14/04,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
diario,15/04,0,0,0,0,0,284,0,0,0,0,0,0,284,False,False,0
diario,16/04,0,0,0,0,0,892,30,0,0,0,0,0,922,False,False,0
diario,17/04,0,0,0,0,0,1014,0,240,0,0,0,0,1254,False,False,0
diario,20/04,0,0,0,0,0,1612,1730,0,0,0,0,0,3342,False,False,0
diario,21/04,0,0,0,0,0,3812,300,330,0,0,0,0,4442,False,False,0
diario,22/04,0,0,0,0,0,6059,0,0,0,0,0,0,6059,False,False,0
diario,23/04,0,0,0,0,0,2552,200,0,0,0,0,0,2752,False,False,0
diario,24/04,0,0,0,0,0,1748,0,1300,0,0,0,0,3048,False,False,0
diario,27/04,0,0,0,0,0,2970,390,0,150,0,0,0,3510,False,False,0
diario,28/04,0,0,0,0,0,1265,320,0,0,0,0,0,1585,False,False,0
diario,29/04,0,0,0,0,0,1322,0,0,0,0,0,0,1322,False,False,0
diario,30/04,0,0,0,0,0,1660,300,0,0,0,0,0,1960,False,False,0
diario,04/05,0,0,0,0,0,0,1811,0,0,0,0,0,1811,False,False,0
diario,05/05,0,0,0,0,0,0,2829,420,0,0,0,0,3249,False,False,0
diario,06/05,0,0,0,0,0,0,500,210,0,0,0,0,710,False,False,0
diario,07/05,0,0,0,0,0,0,2175,400,0,0,0,0,2575,False,False,0
diario,08/05,0,0,0,0,0,0,545,0,0,0,0,0,545,False,False,0
diario,11/05,0,0,0,0,0,0,1885,0,0,0,0,0,1885,False,False,0
diario,12/05,0,0,0,0,0,0,1940,180,0,0,0,0,2120,False,False,0
diario,13/05,0,0,0,0,0,0,2480,2370,0,0,0,0,4850,False,False,0
diario,14/05,0,0,0,0,0,0,2696,0,0,0,0,0,2696,False,False,0
diario,15/05,0,0,0,0,0,0,2052,0,0,0,0,0,2052,False,False,0
diario,18/05,0,0,0,0,0,0,945,0,0,0,0,0,945,False,False,0
diario,19/05,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
