tipo,label,2025_11,2025_12,2026_01,2026_02,2026_03,2026_04,2026_05,2026_06,2026_07,2026_08,2026_09,2026_10,NC,total,low,prior,min
mensual,Mar-25,0,3553,150,0,0,0,0,0,0,0,0,0,0,3703,False,False,0
mensual,Abr-25,0,4978,5161,0,0,414,0,0,0,0,0,0,0,10553,False,False,0
mensual,May-25,0,1657,3025,0,0,0,0,0,0,0,0,0,0,4682,False,False,0
mensual,Jun-25,0,3568,3645,0,0,0,0,0,0,0,0,0,0,7213,False,False,0
mensual,Jul-25,0,4059,8540,0,0,0,0,0,0,0,0,0,0,12599,False,False,0
mensual,Ago-25,0,4630,4138,0,0,0,0,0,0,0,0,0,400,9168,False,False,0
mensual,Sep-25,0,46369,7869,0,0,0,0,0,0,0,0,0,0,54238,False,False,0
mensual,Oct-25,0,74154,9106,1450,0,150,0,0,0,0,0,0,0,84860,False,False,0
mensual,Nov-25,7348,75117,24604,180,2620,0,0,0,0,0,0,0,0,109869,False,False,0
mensual,Dic-25,0,86626,81711,26237,2000,0,0,0,0,0,0,0,0,196574,False,False,0
mensual,Ene-26,0,0,203399,53304,17505,0,0,0,70,0,0,0,0,274278,False,False,0
mensual,Feb-26,0,0,0,77979,40556,10950,0,0,0,0,0,0,600,130085,False,False,0
mensual,Mar-26,0,0,0,0,30611,21941,0,0,0,0,0,0,18720,71272,False,False,0
mensual,Abr-26,0,0,0,0,0,25207,8380,600,0,0,0,0,17440,51627,False,False,0
diario,01/04,0,0,0,0,0,4423,0,0,0,0,0,0,0,4423,False,False,0
diario,06/04,0,0,0,0,0,472,510,0,0,0,0,0,0,982,False,False,0
diario,07/04,0,0,0,0,0,852,300,0,0,0,0,0,0,1152,False,False,0
diario,08/04,0,0,0,0,0,1900,0,0,0,0,0,0,0,1900,False,False,0
diario,09/04,0,0,0,0,0,3157,0,0,0,0,0,0,60,3217,False,False,0
diario,10/04,0,0,0,0,0,90,590,0,0,0,0,0,0,680,False,False,0
diario,13/04,0,0,0,0,0,353,60,0,0,0,0,0,0,413,False,False,0
diario,14/04,0,0,0,0,0,2077,800,0,0,0,0,0,0,2877,False,False,0
diario,15/04,0,0,0,0,0,200,0,600,0,0,0,0,0,800,False,False,0
diario,16/04,0,0,0,0,0,1398,0,0,0,0,0,0,6310,7708,False,False,0
diario,17/04,0,0,0,0,0,80,0,0,0,0,0,0,0,80,False,False,0
diario,20/04,0,0,0,0,0,90,0,0,0,0,0,0,0,90,False,False,0
diario,21/04,0,0,0,0,0,190,1000,0,0,0,0,0,0,1190,False,False,0
diario,22/04,0,0,0,0,0,220,0,0,0,0,0,0,0,220,False,False,0
diario,23/04,0,0,0,0,0,218,0,0,0,0,0,0,0,218,False,False,0
diario,24/04,0,0,0,0,0,2000,0,0,0,0,0,0,0,2000,False,False,0
diario,27/04,0,0,0,0,0,1310,5120,0,0,0,0,0,30,6460,False,False,0
diario,28/04,0,0,0,0,0,1480,0,0,0,0,0,0,3450,4930,False,False,0
diario,29/04,0,0,0,0,0,1915,0,0,0,0,0,0,7340,9255,False,False,0
diario,30/04,0,0,0,0,0,2693,0,0,0,0,0,0,250,2943,False,False,0
diario,04/05,0,0,0,0,0,0,5175,0,0,0,0,0,1120,6295,False,False,0
diario,05/05,0,0,0,0,0,0,902,0,0,0,0,0,60,962,False,False,0
diario,06/05,0,0,0,0,0,0,261,0,0,0,0,0,0,261,False,False,0
diario,07/05,0,0,0,0,0,0,930,0,0,0,0,0,0,930,False,False,0
diario,08/05,0,0,0,0,0,0,530,0,0,0,0,0,0,530,False,False,0
diario,11/05,0,0,0,0,0,0,0,0,0,0,0,0,500,500,False,False,0
diario,12/05,0,0,0,0,0,0,666,1640,0,0,0,0,150,2456,False,False,0
diario,13/05,0,0,0,0,0,0,3,500,0,0,0,0,240,743,False,False,0
diario,14/05,0,0,0,0,0,0,480,0,0,0,0,0,300,780,False,False,0
diario,15/05,0,0,0,0,0,0,450,200,0,0,0,0,2000,2650,False,False,0
diario,18/05,0,0,0,0,0,0,238,200,0,0,0,0,1930,2368,False,False,0
diario,19/05,0,0,0,0,0,0,222,270,200,0,0,0,0,692,False,False,0
diario,20/05,0,0,0,0,0,0,1175,30,0,0,0,0,40,1245,False,False,0
diario,21/05,0,0,0,0,0,0,650,0,0,0,0,0,0,650,False,False,0
diario,22/05,0,0,0,0,0,0,651,0,0,0,0,0,0,651,False,False,0
diario,26/05,0,0,0,0,0,0,60,0,0,0,0,0,600,660,False,False,0
diario,27/05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False,False,0
